genes
GCNT7
PCK1
NEURL2
NDP
F13A1
GLO1
KCNK17
NDUFA1
CHCHD5
TGM3
FAM182A
AMOT
IFI6
TIMM8A
CRYGN
F2RL3
UQCR11
EMC6
OR1E2
FGL2
CGNL1
TMOD2
ARPP19
SHBG
ASH2L
INS-IGF2
HRC
GMFG
NUTM2F
PPT1
BARX1
FSHB
FAAP24
TIMM10B
DDC
ACY3
CPLANE2
NMUR2
POMP
SCO1
EPSTI1
TRPC4
STOML3
GIMAP4
COX16
GSTM5
GSTM3
LAMTOR5
GRP
SLCO1B1
PDGFRA
CLDN10
APC
PNPLA8
RNASEL
SLC19A3
IL6
ZDHHC4
AOAH
MRPL47
IL10
IL36A
IL36RN
SMC2
NR5A1
XPA
OR1L4
PPIL1
PI15
GGH
DDX60
DCUN1D5
NDUFAF1
KYAT3
IFI44L
GIPC2
ARHGAP29
IFI44
CH25H
CEP55
ENTPD1
ATIC
SLC40A1
GUCA1C
USP8
PDE5A
PPA2
HADH
SLC39A8
ERP27
ALG10
LUM
BRCA2
LPAR6
TTC6
ARMH4
ADAM21
AK7
SERPINA10
ETFA
SCAPER
IGSF6
GCSH
ADAD2
SPATA22
GATA6
PMAIP1
VAV1
IFNAR1
PADI1
CD53
XCL1
XCL2
MGST3
NUF2
SDHC
F13B
DTL
CHAC2
RPS27A
SFXN5
MALL
RALB
THSD7B
SPAG16
RBMS3
SLC25A26
RABL3
RPS3A
OTULINL
GZMA
HAPLN1
COMMD10
LINC01558
NIPSNAP2
GPR174
PMP2
PSKH2
ATP6V0D2
NDUFB9
WDR31
ANKRD30A
FRA10AC1
RGS10
HSD17B12
OOSP2
EEF1AKMT1
HNMT
VEGFC
CCDC102B
FSIP1
TIMM8B
TMEM86A
TMEM263
NUBPL
FLI1
TMEM45B
GUF1
CCDC175
ARL11
XRCC4
SUV39H2
UTRN
LMNTD1
CENPH
RASSF3
TMEM87B
GOLGA8F
HS2ST1
CEP112
PGM5
GPR26
PSMA8
TMPRSS15
SLFN13
ODF1
GTF3C6
SAMSN1
PIK3AP1
NAT2
UQCRB
UBE2L6
MS4A1
ITGAD
BUB1B
KLHL40
PADI4
PIP
CCDC28B
CD3G
UBQLN4
FCRL3
CCDC105
AQP5
RPL26
CCDC42
ASRGL1
CMPK1
TTLL10
BRINP3
SLAMF6
KIF26B
PIGR
EN1
C1QTNF7
GABRB1
DAPL1
PDCL2
IGFBP7
CCDC141
DPPA2
SGO2
MNDA
C4orf36
CFAP20DC
CPA3
RPL39L
EMCN
SCRG1
ADAD1
SLC45A2
NDUFAF2
NDUFS4
SPINK1
ERAP2
CMYA5
CARTPT
NSA2
SLC6A18
UQCRQ
FABP7
PDSS2
SPATA48
ANKRD55
GPR85
TEX47
CHMP4C
SLC7A13
BAALC
SNAPC3
FXN
TMEM71
CPA6
CYBB
CXorf58
TSHR
ZNF22-AS1
OTX2
TMEM52B
ISCA2
LIPC
C16orf78
SENP8
SPIC
LEO1
HDGFL3
GALR1
B2M
TGM6
GNGT2
SUN5
TMEM92
C16orf92
ART5
OR51B5
SRR
KLK4
OR8J3
GSDMA
SOST
PLAAT5
KIF5C
CX3CR1
TSPY2
STXBP6
UQCRFS1
COL4A3
PGM2
P2RY12
RNASE6
SPRR1A
GPR183
UGP2
TAS2R1
HOXD4
ADPRM
CDK1
COX7B2
EMB
CYTL1
OR7G2
HSFX1
C1GALT1C1
KRT38
XAGE3
PDE7B
ETFDH
RAB4B-EGLN2
NMUR1
REG3A
CYCS
CCL11
PRL
OR4C11
CLEC7A
CLEC12A
BPGM
SUCLG2
COPS9
AGXT
MUCL1
ZMAT3
MOS
GARIN2
MIR4435-2HG
XKR3
FRG2C
COQ2
RAPH1
CYSLTR1
MAB21L3
C11orf86
CEP83
GPRC6A
SPATA3
PLK3
TLR10
TLR1
ARL13A
DIRC1
TRHR
STARD6
ZG16
KCNE3
ERCC6L2-AS1
LINC02873
CBLL2
A2M
CHMP6
TCP11L1
HMGB4
CDC26
OR5AN1
PXMP2
OR51A7
OR2AJ1
LINC00469
RBM44
TSPYL6
LINC02907
SPAG11A
CALML5
LINC00314
CD28
MAF
APOLD1
TMEM107
LINC00670
HNRNPCL1
LINC00311
EIF3J-DT
APOBEC3B
SYCN
PIK3CD-AS1
OR1E1
WFDC11
PRF1
OR10K2
WDFY3-AS2
OR56B3P
C1orf105
HIGD1A
MUC16
ZNF322
SAGE1
FANCB
P2RY13
OR8K5
LINC00471
OR6S1
CLDN7
OR4A16
SNRPE
IDH2
PTCHD3
KCNIP1
UBA7
SYNM
DAOA
CAV3
EPGN
RXFP3
WFDC10B
RIPPLY3
OR5P2
OR56A4
GKN2
CCR3
PRR32
DOCK8-AS1
ANKRD45
FAM3B
OR2T10
TACSTD2
SIX6
LRRC19
DDX53
TMEM106A
KRT76
PURA
MFSD6L
SPATA8
SPATA31A6
SHOX
AIDA
HTR3D
FFAR4
BTLA
KRT26
TRDN
DEFB132
BTN3A2
FOXD2
CYP27C1
LCE1A
SERPINA11
FAM183A
PNLIPRP1
ANGPTL5
LUZP2
H2AP
PRR27
C5orf52
ASCL4
MORN2
CLEC2A
FAM72B
IDO2
OSTN
RBM34
SPRED3
BSX
TRMT2B
KIR2DL4
SP6
PLAC9
PCDH18
DCAF8L2
SPANXN3
TRIM64B
CXCL17
IL1RAP
OR6M1
GK2
TPK1
HBG2
TLR7
LINC02991
OR52K1
SPINK14
RGPD4
H2AC7
METTL9
ZNF138
KRT35
OR10D3
ZNF98
CYP2B6
LINC00477
MPEG1
PDCD1LG2
TXNRD3
PRB3
UGT2B17
PLCG2
RPL12
OR2T6
CSF2RA
AKR1C4
FAM3D
EPS8L3
SYCP1
RCSD1
ASB12
CAPZA2
TEDDM1
FAM229B
PRR9
OOEP
LINC02520
LINC00474
AWAT1
LINC01973
ERICH2
CARD16
CASP12
AIF1
AADACL4
FOXB2
HCG9
FGF7P3
LRRC3C
PCDHA4
MS4A13
SLFN12L
LINC02397
LINC02903
CFI
SAMD9
EXOC3L4
TMSB4X
TECRL
CRYZL1
KLRC2
LINC00487
NANOGNB
SMIM21
SERPINB4
HBM
HCP5
DIO2
DIO1
IGKV1D-42
IGLV4-60
IGLV3-12
IGLC7
TRGC1
TRGV4
TRAV5
TRAV17
TRAV23DV6
TRDV1
TRAV24
TRDJ3
TRAJ47
TRAJ46
TRAJ41
TRAJ8
IGHE
IGHV3-13
IGHV3-21
KRTAP29-1
OR2A42
KRTAP3-1
GIMAP1
LINC01521
GNAT3
SEC14L6
MS4A4E
CDRT15L2
DCDC2C
CXorf49B
MIR99AHG
KRTAP10-4
RPL17-C18orf32
FAM230B
DEFB115
FAM72D
LINC01139
TSTD1
CKLF
LINC01644
TDRD15
CELA3B
EBF2
OR4A5
ARIH2OS
FAM185A
LINC01124
POTEM
LINC01778
LINC01986
LINC02142
LINC01208
LINC00205
LINC00114
MYCNUT
LINC01921
LINC01874
TTTY22
AMMECR1-IT1
LINC02828
SOX1-OT
CHL1-AS2
LINC00703
TTC21B-AS1
FGGY-DT
LINC01398
LINC02830
LINC01766
LINC01034
LINC01752
LINC01645
CATIP-AS1
DUXAP9
LINC02470
LINC00378
LINC01763
NUTM2B-AS1
LINC01107
LINC01710
MEG8
LINC00431
LINC01831
NTF4
FTCDNL1
LINC01375
LINC01811
LINC00390
TEX41
MIR217HG
LINC02554
LINC00840
THORLNC
LINC00354
LINC01276
LINC02527
LINC02798
LINC00434
RABGAP1L-DT
MROCKI
SLC2A1-DT
LINC01074
LINC02344
SELENOOLP
LINC01820
LINC02843
LINC01320
SUMO2P21
LINC00448
THRB-AS1
PIK3CA-DT
CCDC26
LINC00377
LINC00446
REV3L-IT1
LINC02768
MIR5689HG
LINC01822
TRBV5-4
LINC01650
AOAH-IT1
LINC01818
RGPD4-AS1
KLHL7-DT
LINC01520
HSBP1
LINC00373
LINC02522
COMETT
PLSCR5
SGO1-AS1
LINC02662
LINC01891
LINC01273
LINC01388
LINC01880
LINC01047
LINC00865
BPESC1
RASA3-IT1
LINC01646
HLA-DQB2
ZNF687-AS1
GACAT1
LINC00028
LINC00841
OR5H15
NRAD1
BTG2-DT
LINC01868
LINC01830
PDE4DIPP7
LINC01641
LINC02765
LINC02020
OR10G8
LERFS
LINC02621
IQCM
LINC01889
LINC00533
B3GALT4
LINC02889
LINC01361
TLX1NB
LINC02653
CT47B1
LINC02195
EN2-DT
OVAAL
LINC01563
LINC01852
LINC02814
OR10G9
ZEB1-AS1
CDKN2AIPNL
LINC01343
LINC01684
LINC00857
LINC02567
LINC01497
LINC01275
LINC01610
LINC01143
MACORIS
LINC00322
LINC01885
LINC02257
SPATA3-AS1
LINC00426
ETDA
ST6GAL2-IT1
PAGE2B
POM121L7P
STPG4
LINC01471
IGKV1-17
C1QTNF9
KRBOX1
LINC02042
LINC01994
LINC00881
TDGF1
IGKV1D-16
LINC01997
CD302
LINC01323
LINC01324
FOXP1-IT1
C22orf39
ZBTB20-AS5
HLA-DMB
MRPL33
PPAN-P2RY11
IGKV1-12
WDR86-AS1
DNAJC25-GNG10
TMEM141
LINC01326
ETV5
MIR4300HG
LINC01550
LINC00968
CPEB2-DT
PCED1B-AS1
LINC02234
LINC02505
LINC02513
LINC02275
LINC02472
LINC02485
LINC02122
CHD1-DT
ARHGAP22-IT1
LINC01085
LINC01948
ATP5MF-PTCD1
LINC01033
SEMA6A-AS2
LINC01411
LINC02405
LINC02997
LINC01060
SPATS1
LINC02114
LINC01258
BMPR1B-DT
LINC02503
ZNF564
LINC02242
LINC02742
LINC02372
SLC7A11-AS1
LINC02364
LINC01618
LINC02762
LINC02229
SMIM20
LINC02148
CCDC169-SOHLH2
LINC02063
NIHCOLE
LINC02228
LINC02384
LINC02353
LINC02475
WWC2-AS2
SEMA5A-AS1
FOXD1
CENPS-CORT
LINC02435
LINC02241
LINC01845
PCAT1
LINC02099
LINC02866
LINC01484
ALG11
LINC01419
NRG1-IT3
LYN
LINC02749
LINC02719
EMSY-DT
LINC02697
LINC02730
RSF1-IT1
LINC02735
RAB44
LINC02952
LINC02700
LINC01479
TIFAB
LINC02953
LINC02411
LINC00944
LINC02387
LINC02375
ASIC5
LINC01486
LINC02390
LINC00273
LINC02441
CAPNS2
LINC00508
SLCO1B3-SLCO1B7
C11orf97
LINC02450
CLLU1
TAS2R38
LINC02388
OVCH1-AS1
MIR4307HG
LINC02400
LINC02306
LINC02277
LINC01269
LINC02328
FPGT-TNNI3K
PNN-AS1
LINC02304
LINC00924
HMBOX1-IT1
LINC02323
ST20-MTHFS
LINC00677
LINC02157
MIR30DHG
NR4A1AS
LINC00261
LINC01992
DDX59-AS1
C16orf95
BGLT3
LINC02011
LINC01633
WFDC21P
LINC02188
GOLGA8T
LINC00566
LINC00922
TWSG1-DT
DSEL-AS1
LINC01903
RPL17
LINC01906
GJD3-AS1
LINC01538
MIR2117HG
LINC01255
LINC01478
LINC01837
LINC01926
EDDM13
MAGEA9B
LINC01785
LINC01872
PNMA6B
CT45A1
CALR3
NXF2
LINC01224
SNHG8
MEI4
CELF2-DT
BIVM-ERCC5
HCG17
ARMCX5-GPRASP2
LINC01109
LINC01050
MILR1
ARFGEF1-DT
AFF4-DT
NUDT3
CD24
LINC03006
LRRC8D-DT
RBAK-RBAKDN
LINC01990
H3-7
LINC02725
RAD52
OSBPL7
ABCC8
GTF2IRD1
MYH13
CDK11A
IL32
SLC7A9
C8B
ABCC2
RTEL1-TNFRSF6B
ZCCHC8
SLC18A1
PRSS8
ALX4
SPO11
TRAF1
MSH4
MXD1
BICRA
NGFR
BORCS8-MEF2B
DRD4
CHAT
MS4A12
P4HA2
GSDMB
TBX21
CDHR2
CELSR1
SEC31B
SPAG5
ICAM3
LRCH4
CST7
LAMP3
MPP4
RAD54L
GP6
DNMT3B
LHX5
PXN
TFAP4
PDPR
APOH
TGM1
CAPN3
NUP188
TBC1D2
WHRN
IL11
FKBP5
PGC
CATSPERG
MKNK2
MMP11
CECR2
GSTT2
LGALS2
MIOX
GRAP2
CTSG
GZMB
SIX4
MMP9
SLA2
PTK6
RSPO4
H2BW2
RHOXF1
TAFAZZIN
GPR50
MLNR
ACP5
HSF4
GDPD3
CCL17
HAS3
CAPN15
CLASRP
PPP1R13L
SF3A2
DMPK
RSPH6A
PRKD2
TJP3
CD79A
SULT2A1
CYTH2
FAM83E
COMP
PBX4
HSPB1
PAX4
PLOD3
MYL10
LHX3
KRT37
RCVRN
UCP1
CRYAB
HPX
APOA4
APOC3
DAO
MYF6
MYF5
KRT18
TNS2
NOP2
GNB3
CDCA3
SLCO1B3
NANOG
PRDM13
SLC17A2
GUCA1B
TENT5A
GRK7
RTKN
TFCP2L1
CENPA
NEU2
PLCD4
ABCB6
CD207
ATP6V1B1
PRAMEF1
TFAP2E
NR5A2
MYCL
PTCH2
SGK1
TCF21
ABCD4
TGFB3
KANSL1
INSL4
SLC25A2
MSANTD2
EPX
TEX14
BCL2L14
RGSL1
POPDC2
GJA8
CNTFR
MMP19
NFE2
G0S2
FAM209A
SLPI
ARHGAP40
PARD6B
SNAI1
MAGEA10
HIF3A
H1-1
RAB17
MYRF-AS1
BMP4
PTGER2
SRMS
PLGLB2
GNRH2
GDF5
PLAGL2
FFAR1
TSKS
GLIS2
CFP
OR7C2
SMO
CHAC1
CALML4
CSRP3
AIPL1
KLK14
QRICH2
CHRNA10
ANGPTL8
IQCN
ZC3H4
POLN
ULBP2
EPS8L1
CCL25
CDX4
C3orf20
PSMC3IP
AOC2
G6PC1
KRT34
USP29
DNAJB1
RFX1
JCHAIN
KDM6B
GPS2
HAPLN2
MUTYH
GGT2P
ADAMDEC1
REG4
KLRD1
PRH2
SPOCD1
DHX34
UGT2A3
CGA
GJA10
PRPH
TROAP
PAN2
ZNF670-ZNF695
ZFHX2
GALNT5
IL36B
SMPD4
ALDOB
MYC
DMRT1
FOXP4
TJAP1
RIPK1
FGFBP1
MGARP
TMPRSS4
MMP7
POU2F3
FXYD2
DUOX1
SPTBN5
CYP2C9
PLA2G12B
ADAMTS14
B4GALNT3
FOXN4
CSAD
JDP2
SLC25A47
DUOXA1
DUOXA2
NEIL1
IGF1R
GOLGA6D
CRTC3
ARHGAP17
CLEC18B
CMTM2
OSGIN1
CTRL
CCDC40
NTN5
CNKSR1
DMRTA2
DMRTB1
ADCY10
RORC
SF3B4
CGN
VASH2
S100A7
AQP10
NAT8
SPATA16
UCN2
MUC4
SLC26A1
UGT3A1
GLRA1
ASB15
CCDC120
GCNA
RIPPLY1
PRDM14
FAM83A
IFNK
TMEM236
SERPINH1
C11orf52
GGTLC1
SCP2D1-AS1
TBX6
PRSS53
MAT1A
MSGN1
ADAM8
BAG3
RBM46
TUBA3E
ZNF547
DMP1
CPB1
CIBAR2
GRAP
SLC5A10
PANX3
MMP21
PROM2
LRGUK
TRIM42
UGT2B4
SLC28A1
PRR14
CLEC18A
ARMC12
C9orf43
KRTCAP3
TENT5B
NRG2
POM121L2
PAGE5
SLAMF8
ITLN2
PLA2G2F
FGF17
IGF2BP1
GOLGA6A
ISL2
ANKLE1
ICOSLG
FTCD
LSS
ZNF761
TMEM190
LRRC71
SYCE2
IP6K3
ALOX15
MSLNL
FGF19
TMEM82
SLC25A34
SLAMF9
PKDCC
OXER1
FCMR
CAPN13
ANKRD23
TEX55
STK36
FANCD2OS
ZC3H12A
IGF2BP2-AS1
SLC51A
HAND2
SPZ1
EGFLAM
IL3
LEAP2
FAM183BP
TMEM184A
PRSS37
RASEF
VEGFD
DEUP1
MBL2
ZNF503
SLC39A2
LARGE2
ABTB2
PASD1
AMN
SYNPO2L
CPLX4
RRAD
MMP10
PLK1
CHP2
OR4D6
MBD6
TERB2
B4GALNT2
PRR15L
ENGASE
GNG8
NIBAN3
NFKBID
SERPINF2
SOAT2
DNASE1L2
OR1F1
DDIT4
SCGB1D1
GDNF
WFDC12
OR13J1
ATOH8
CTRB1
OR10G3
NPIPB3
GP2
COL22A1
BNC1
ACTRT2
CALML6
TAS1R3
FOXD4
MRAP
KISS1
IRX1
ZNF296
OR10A4
CEL
PSG6
LINC00208
FUT3
OR2K2
RLN3
LRG1
KRT13
KRT9
XAGE5
OR1L3
PTCRA
LGALS4
NHLH1
SLFNL1
UTF1
KLF17
OR10H2
LCE1D
OR4X2
BANP
AGAP5
TMEM217
NAA16
KRT2
RXFP4
HSPA6
AHSA2P
TUBB8B
PLAC8L1
OR10K1
AGR3
C1orf100
TDRD12
TCAP
GLIS1
MIR1-1HG
SLC26A9
DNAH12
AMY1B
CATSPERD
CLCF1
UCP3
TUBB6
HSF5
ENTHD1
OR11H4
OR4K17
RPP38-DT
TAC4
HSD11B2
DMRTA1
SGF29
LRRC37A3
MUC20
SHMT1
DSCAML1
PUS1
OR2G3
VCX2
FAM187B
PNPLA2
MYOZ1
ODF3
PARD6G
PRM3
TMPRSS9
UCN3
ERN1
GPR35
STX19
TMEM139
TPRX1
PER1
LINC00174
TPPP2
WDR97
NKX2-6
LINC02870
F2
ALX1
LINC00304
DIP2C-AS1
LINC02908
LINC02363
GPR157
ARSJ
LINC01559
LSMEM1
OR56B1
OR52N4
HECW1-IT1
SPEM1
SYNE4
EDDM3A
MEX3D
FDCSP
USH1G
ENPP7
MRGPRG
TSEN54
CRYGB
DCAF4L1
NXPH4
XKRX
LINC00334
KRTAP11-1
PPP1R27
GSTA5
OTOP3
OR4M2B
ANKRD20A2P
REC114
LRIT3
IFNL2
GPR39
SDR42E2
C1QTNF12
GOLGA6L4
ACOT1
SRPK3
SPATA32
FOXD4L1
TAFA3
FAM167A-AS1
ODF4
CLDN6
MGAT4EP
SRY
DMRTC1B
SEMA4B
MC2R
NOTUM
IL3RA
SPPL2C
STAC3
ROR1
PDIA2
C6orf201
OR6C76
TAS2R60
FAM186A
LCE3E
PLK5
ATP4B
TAL2
ZPBP2
CENATAC
BPIFB3
CYP4F12
NUDT17
SPATA12
CEACAM19
CCDC73
FOXI2
FOXE3
IFNA10
KRT16
C1QL4
OR13C8
KRTAP21-1
LINC00207
TMPRSS6
TMEM216
HEATR4
LILRA5
FOXD3
LCE2C
LCE2D
CDHR4
SIRT7
SBK2
FOXD4L3
COX8C
PLEKHN1
HAPLN4
ERAS
S100A3
C19orf67
RAB42
SCGB1C1
FAM25A
FAM166A
OR7A5
RUFY4
IGFL1
C10orf99
IFNA2
DYNLT4
NANOS2
KRTDAP
OR2G6
CLEC20A
HMX3
CATSPER4
PLA2G2E
SNTN
GLRA4
ASTL
AADACL3
LRRC66
VHLL
ANKDD1B
GAGE2A
KRTAP10-12
TOGARAM2
MMP23B
NCR1
KIF19
ATP2A1
OR8D1
POTEF
OR11G2
TEX43
DTHD1
OR8B8
SULT1A2
H4C11
IL27
HMGA2-AS1
DMBX1
MYH6
OR52M1
IFNA1
ZNF823
ZNF311
NPIPB13
ADH4
NPIPB6
FAM47C
SULT1C2
UCKL1
OR5B21
KCNRG
SPANXC
TAT
MT-ND6
MT-CYB
MT-ND2
RASSF9
MT-ND5
MT-ND4
MT-ND1
OR2T5
MIR29B2CHG
LINC00862
RAET1G
ECT2L
LIME1
GLYATL3
PHACTR4
ZDHHC18
AGAP9
GDF5-AS1
AGER
SPANXN5
HSPA1B
HSPA1A
HSPA1L
LY6G5C
NCR3
PRAMEF14
TRIM15
CBY3
C5orf60
IL31
OR2H1
OR11A1
OR2W1
KRT40
GRXCR2
OR5L2
GARIN1A
MGAT4D
CPT1B
MFSD2B
ACOT6
SMIM11
ARRDC5
KRTAP5-1
FAM230H
RNASE13
HCG27
IGKV4-1
IGLV7-46
IGLV7-43
IGLV3-19
TRBV9
TRBV4-2
TRBV27
TRAV13-2
TRAV25
TRAV39
TRDJ4
TRAJ31
TRAJ6
IGHV3-20
IGHV1-24
IGHV4-39
LINC01089
KRTAP4-9
KRTAP2-3
POU5F1B
ACKR1
KRTAP4-12
LAT
UGT2B11
KLRK1
CLDN9
AP1G2
ZNF90
MEF2B
ZNF788P
KRTAP2-2
LINC00612
CXorf49
LINC00588
GRXCR1
ZNF705G
EFCAB8
ARHGAP27P1-BPTFP1-KPNA2P3
TNFRSF25
RPTN
LACTBL1
GPC1-AS1
ZGLP1
FANCG
LINC02897
MYBPHL
OR52B4
IGLV9-49
LINC02068
MEG9
TRIM49D1
CDRT15
RFPL4A
MYH9-DT
LINC01342
PDGFA-DT
LINC01767
SMCR2
LINC02054
LINC01087
LINC01627
NPIPA3
LINC01167
ATP2B2-IT2
ECMXP
LARGE-AS1
INE1
CT62
LINC02557
PLCB1-IT1
FAM225B
SLC26A6
FAM229A
LINC01529
LINC00115
LINC02648
FAM88F
LINC02097
LINC01733
RBISP1
LINC00408
LINC01345
LINC01035
SRRM5
LINC03012
LINC02785
LINC02051
LINC00454
LINC00423
LTA
ANHX
LINC02094
LINC01153
LINC02832
LINC02936
LINC02803
CPMER
FAM66A
LINC01655
LINC01341
LINC01515
BOD1L2
OR2M3
ORM2
GUSBP11
ROCR
LINC02013
LINC00954
LINC01939
CT45A5
NEGR1-IT1
LINC01981
ORM1
LINC00858
LINC02069
SACS-AS1
PBX3-DT
LINC01758
PGA3
FAM90A26
LINC00400
PRPS1L1
SMYD3-IT1
LINC02603
LINC02580
TEX48
KIF19BP
LINC01436
TCF7L1-IT1
LINC01720
LINC01423
CFAP97D1
SBK3
IGKV1OR2-108
LINC01160
LINC01516
FAM225A
LINC01704
LINC00575
DYTN
LINC00708
LINC01701
FAM215B
STAG2-AS1
RPL37A-DT
LINC01517
LINC01705
LINC01189
LINC01400
LINC00342
NPIPA9
LINC01271
LNCARSR
LINC00456
LINC02625
LINC01765
TRIM26
LINC01039
LINC01191
SOD1-DT
LINC02093
WASH4P
C11orf94
LINC02529
LINC00458
LINC02632
LINC00163
LINC01883
FNDC1-IT1
LINC03017
LINC00601
BARX1-DT
RNF148
LINC00484
LINC01647
LINC02651
LINC02799
LINC01072
IGHD1-1
LINC01953
GPC5-IT1
SLFN14
LINC00479
LINC00608
LINC01231
IFNA4
LINC01010
LINC01829
LINC02626
LINC00529
C3orf84
LINC01056
LINC01968
LINC02790
OR7E24
LINC01115
LINC02702
LINC02037
LINC02006
IGKV1D-8
IGKV1-6
C1orf226
ZBTB20-AS3
IGKV1D-33
LY6G5B
LINC00973
L1TD1
LINC02030
HILPDA-AS1
IGKV1-16
LINC02024
KRTAP5-8
FBXW10B
EGFL8
HYPK
LINC01743
PRKAG2-AS2
LASTR
IGKV2D-28
SERPINB10
LINC00971
CD200R1L-AS1
PRAMEF4
PSG4
LINC02932
EFNA4
MIR1302-2HG
KRTAP10-11
PLA2G4B
LEFTY1
APOBEC3D
P2RY11
LINC00698
IGKV1-27
RAD21L1
GPR176-DT
NUP107-DT
INSL3
LINC02383
SLIT2-IT1
LINC02014
TARM1
LINC02119
LNX1-AS2
LINC02267
LINC02437
LINC02222
LINC02428
LINC02511
MAST4-IT1
LINC02362
LINC01093
ATP5MGL
LINC01016
LINC02071
LINC01470
LINC02113
PPP2R2B-IT1
CLRN2
LINC02103
PTTG2
LINC02509
NDNF-AS1
LINC02502
LINC02499
CDK3
MIR583HG
NT5C1B-RDH14
PRODH2
SLC25A30-AS1
LINC01337
PCAT4
DCANP1
IGKV1D-39
C5orf64-AS1
LINC02507
LINC02947
LINC01847
TRBV7-4
NACA2
LINC02845
NRG1-IT1
LINC01299
LINC01848
NPIPB11
LINC02732
LINC02699
SIGLEC12
LINC02235
LINC02695
FAR1-IT1
LINC02751
OR5M1
LINC02546
LINC02759
OR5M11
LINC02710
NAV2-IT1
OPCML-IT2
LINC02741
SMIM14-DT
LINC02951
B3GAT1-DT
OR10G2
AGAP2-AS1
LINC02747
LINC02442
SOX5-AS1
TAS2R30
TSPAN9-IT1
LINC02414
LINC02954
LIMS3
OR11H12
LINC02402
LINC02403
MAP1LC3B2
ZNF578
LINC02274
LINC00930
LINC01580
MC1R
DUXA
TPRX2
LINC00524
LINC01895
LINC02895
IGHV3OR15-7
LINC02169
LINC02124
LINC01070
CARMAL
LINC01413
CCDC187
LINC02194
TBC1D3G
LINC01882
LINC02176
LINC01917
LCMT1-AS1
PWRN2
LINC01541
LINC02280
HCCAT5
LINC02129
CLEC19A
MUC22
TEN1-CDK3
LINC01735
LINC01859
LINC00165
LINC01654
LINC01974
LINC02185
MYMX
GRAPLDR
CCER2
OR1D5
LINC01919
SEPTIN9-DT
SNORD3A
LINC02837
LINC01912
MARCHF10-DT
CDRT8
SNORD3B-1
LINC02958
CYP4F35P
NOS2P1
ESRG
KLF14
GDF10
TBC1D29P
PARD6G-AS1
APOC4
LINC01855
EML2-AS1
LINC01999
LINC01987
SCGB1C2
LINC02135
SPANXN2
LINC01838
TRABD2B
CYCSP7
CCDC194
SSX4B
SMC2-DT
PPIAL4H
HEATR9
CAHM
GAS2L2
ZNF30-AS1
NAMA
PATJ-DT
C1orf21-DT
BCAN-AS1
ZNF454-DT
LINC02538
GTF2IP13
MUSTN1
GTF2IP20
TIMMDC1-DT
SLC30A6-DT
ADIRF-AS1
LYPD4
LINC02604
